sni,delta,payload,ttl,ip_flags
locanto.me,0.002894,01020304050607080900,58,
xszj.org,0.002431,01020304050607080900,58,
dow.com,0.002734,01020304050607080900,58,
antarvasna3.com,0.004745,01020304050607080900,58,
oolveri.com,0.00263,01020304050607080900,58,
tamilkamaveri.com,0.00255,01020304050607080900,58,
tamilscandals2.com,0.002463,01020304050607080900,58,
fz.fj.cn,0.002589,01020304050607080900,58,
doujin-freee.com,0.002419,01020304050607080900,58,
mangaraw.vip,0.002433,01020304050607080900,58,
adult-machiko.com,0.002999,01020304050607080900,58,
tantora.jp,0.003105,01020304050607080900,58,
vi-vo.link,0.002634,01020304050607080900,58,
ricardo.ch,0.002416,01020304050607080900,58,
informa.com,0.465437,01020304050607080900,58,
villagesexvideos.com,0.002531,01020304050607080900,58,
philstar.com,0.002479,01020304050607080900,58,
pmi.org,0.002468,01020304050607080900,58,
elsevierhealth.com,0.003054,01020304050607080900,58,
saasexch.cc,0.002407,01020304050607080900,58,
neocities.org,0.002617,01020304050607080900,58,
main.jp,0.002756,01020304050607080900,58,
mangapicgallery.com,0.002564,01020304050607080900,58,
gxcorner.games,0.002522,01020304050607080900,58,
dextools.io,0.003769,01020304050607080900,58,
spigotmc.org,0.002486,01020304050607080900,58,
gasbuddy.com,0.002491,01020304050607080900,58,
whatismyipaddress.com,0.002678,01020304050607080900,58,
googirl.jp,0.002757,01020304050607080900,58,
klmanga.org,0.002639,01020304050607080900,58,
donorbox.org,0.002533,01020304050607080900,58,
imgbb.com,0.002441,01020304050607080900,58,
jpn.org,0.002586,01020304050607080900,58,
carrefour.fr,0.002503,01020304050607080900,58,
company.site,0.00353,01020304050607080900,58,
newspapers.com,0.004283,01020304050607080900,58,
tracker.network,0.004704,01020304050607080900,58,
cda.pl,0.003159,01020304050607080900,58,
wikitravel.org,0.240233,01020304050607080900,58,
textnow.com,0.002402,01020304050607080900,58,
manjaro.org,0.002796,01020304050607080900,58,
aoxx69.vip,0.002936,01020304050607080900,58,
wiwo.de,0.002877,01020304050607080900,58,
temp-mail.org,0.002605,01020304050607080900,58,
natalie.mu,0.0025,01020304050607080900,58,
tver.jp,0.002633,01020304050607080900,58,
stumbleguys.com,0.002691,01020304050607080900,58,
ttlink.com,0.002601,01020304050607080900,58,
allevents.in,0.00329,01020304050607080900,58,
crocs.com,0.00326,01020304050607080900,58,
hdsex2.com,0.002613,01020304050607080900,58,
unimi.it,0.003149,01020304050607080900,58,
taylorfrancis.com,0.0026,01020304050607080900,58,
webnode.page,0.236826,01020304050607080900,58,
vc.ru,0.003578,01020304050607080900,58,
www.gov.il,0.00277,01020304050607080900,58,
linodeusercontent.com,0.002603,01020304050607080900,58,
101domain.com,0.00324,01020304050607080900,58,
zviewcloud.com,0.002478,01020304050607080900,58,
creativemarket.com,0.002949,01020304050607080900,58,
capcutstatic.com,0.00237,01020304050607080900,58,
upf.edu,0.002475,01020304050607080900,58,
globalresearch.ca,0.0025,01020304050607080900,58,
activecampaign.com,0.002537,01020304050607080900,58,
forexpros.com,0.002496,01020304050607080900,58,
avvo.com,0.00253,01020304050607080900,58,
xlrdr.com,0.002713,01020304050607080900,58,
bni.co.id,0.009038,01020304050607080900,58,
escapefromtarkov.com,0.002847,01020304050607080900,58,
gusto.com,0.002418,01020304050607080900,58,
r10s.jp,0.002587,01020304050607080900,58,
smallseotools.com,0.002513,01020304050607080900,58,
suny.edu,0.002495,01020304050607080900,58,
porntop.com,0.002551,01020304050607080900,58,
mk.co.kr,0.004769,01020304050607080900,58,
namesilo.com,0.002553,01020304050607080900,58,
lasvegassun.com,0.002486,01020304050607080900,58,
hydrawise.com,0.003205,01020304050607080900,58,
sexm.xxx,0.00241,01020304050607080900,58,
9now.com.au,0.003265,01020304050607080900,58,
trakt.tv,0.002549,01020304050607080900,58,
imovelweb.com.br,0.002871,01020304050607080900,58,
royal.uk,0.00245,01020304050607080900,58,
ks.gov,0.002674,01020304050607080900,58,
psnprofiles.com,0.002418,01020304050607080900,58,
refersion.com,0.002456,01020304050607080900,58,
businesstech.co.za,0.002726,01020304050607080900,58,
ovoenergy.com,0.003329,01020304050607080900,58,
telegram.com,0.002788,01020304050607080900,58,
mobilevikings.be,0.002535,01020304050607080900,58,
ondigitalocean.app,0.002408,01020304050607080900,58,
faire.com,0.004058,01020304050607080900,58,
getbynder.com,0.002586,01020304050607080900,58,
catly.io,0.238949,01020304050607080900,58,
surfline.com,0.002841,01020304050607080900,58,
foxit.com,0.002429,01020304050607080900,58,
kyushu-u.ac.jp,0.002383,01020304050607080900,58,
partsgeek.com,0.003711,01020304050607080900,58,
chabad.org,0.002763,01020304050607080900,58,
mercer.com,0.002653,01020304050607080900,58,
vuasex.co,0.005239,01020304050607080900,58,
tporn.xxx,0.004336,01020304050607080900,58,
native-instruments.com,0.002984,01020304050607080900,58,
boxrec.com,0.003352,01020304050607080900,58,
ludashishipin368.com,0.002644,01020304050607080900,58,
ysense.com,0.002651,01020304050607080900,58,
lzptt.gx.cn,0.002662,01020304050607080900,58,
lordfilm.lu,0.002812,01020304050607080900,58,
ukrainealarm.com,0.002521,01020304050607080900,58,
91porny.com,0.002524,01020304050607080900,58,
epark.jp,0.002822,01020304050607080900,58,
mars.com,0.00344,01020304050607080900,58,
warhammer-community.com,0.237042,01020304050607080900,58,
chiliz.com,0.002464,01020304050607080900,58,
funimation.com,0.002723,01020304050607080900,58,
wilko.com,0.002848,01020304050607080900,58,
plesk.page,0.002493,01020304050607080900,58,
donaldjtrump.com,0.002737,01020304050607080900,58,
snapgametech.com,0.002672,01020304050607080900,58,
99.co,0.002418,01020304050607080900,58,
nn.gx.cn,0.00252,01020304050607080900,58,
hostgator.in,0.002552,01020304050607080900,58,
cameo.com,0.003155,01020304050607080900,58,
meta.ua,0.002547,01020304050607080900,58,
minecraft-inside.ru,0.002414,01020304050607080900,58,
pluska.sk,0.002401,01020304050607080900,58,
amplifi.com,0.003506,01020304050607080900,58,
xxxbule.com,0.002657,01020304050607080900,58,
disboard.org,0.004328,01020304050607080900,58,
dengeki.com,0.00257,01020304050607080900,58,
pornwhite.com,0.002435,01020304050607080900,58,
northerntool.com,0.002558,01020304050607080900,58,
hpplus.jp,0.002872,01020304050607080900,58,
omio.com,0.002555,01020304050607080900,58,
raxcdn.com,0.002521,01020304050607080900,58,
stores.jp,0.003329,01020304050607080900,58,
redstate.com,0.002392,01020304050607080900,58,
km.ru,0.002478,01020304050607080900,58,
gigazine.net,0.002743,01020304050607080900,58,
solo.to,0.004239,01020304050607080900,58,
dexscreener.com,0.003043,01020304050607080900,58,
incestflix.win,0.002516,01020304050607080900,58,
xxxi.porn,0.003139,01020304050607080900,58,
livedoor.biz,0.00249,01020304050607080900,58,
crhoy.com,0.00237,01020304050607080900,58,
apotea.se,0.003241,01020304050607080900,58,
distrokid.com,0.00422,01020304050607080900,58,
later.com,0.002711,01020304050607080900,58,
crowd1.com,0.002484,01020304050607080900,58,
eztv.re,0.00369,01020304050607080900,58,
mantan-web.jp,0.004911,01020304050607080900,58,
kasta.ua,0.002373,01020304050607080900,58,
romaniatv.net,0.003194,01020304050607080900,58,
myvue.com,0.002742,01020304050607080900,58,
aphapublications.org,0.003427,01020304050607080900,58,
prozis.com,0.002751,01020304050607080900,58,
betway.com,0.002513,01020304050607080900,58,
rumah.com,0.002537,01020304050607080900,58,
baginya.org,0.002615,01020304050607080900,58,
avple.tv,0.002469,01020304050607080900,58,
vanillacommunities.com,0.003557,01020304050607080900,58,
o3.ru,0.002502,01020304050607080900,58,
tonarinoyj.jp,0.002579,01020304050607080900,58,
bigrock.com,0.002581,01020304050607080900,58,
asmhentai.com,0.002617,01020304050607080900,58,
roninchain.com,0.004862,01020304050607080900,58,
inmuebles24.com,0.003213,01020304050607080900,58,
telemagazyn.pl,0.002504,01020304050607080900,58,
hellven.net,0.002451,01020304050607080900,58,
yespornpics.com,0.003294,01020304050607080900,58,
hotcopper.com.au,0.004379,01020304050607080900,58,
quidco.com,0.00244,01020304050607080900,58,
marica.bg,0.003065,01020304050607080900,58,
elfagr.org,0.002464,01020304050607080900,58,
ritsumei.ac.jp,0.002685,01020304050607080900,58,
manhwaz.com,0.003539,01020304050607080900,58,
kokoatv.net,0.002882,01020304050607080900,58,
locanto.com.au,0.002827,01020304050607080900,58,
doorblog.jp,0.002627,01020304050607080900,58,
yaoimangaonline.com,0.003039,01020304050607080900,58,
menangtoto.net,0.003083,01020304050607080900,58,
you-porn.com,0.003732,01020304050607080900,58,
hlebo.com,0.002774,01020304050607080900,58,
salvationarmy.org,0.002495,01020304050607080900,58,
bet365.gr,0.002942,01020304050607080900,58,
dokusho-ojikan.jp,0.002624,01020304050607080900,58,
fuccunt.com,0.002371,01020304050607080900,58,
enotes.com,0.00299,01020304050607080900,58,
bepis.moe,0.002644,01020304050607080900,58,
pokemon.co.jp,0.002509,01020304050607080900,58,
indiansexstories2.net,0.0028,01020304050607080900,58,
nat.gov.tw,0.002524,01020304050607080900,58,
japaneseasmr.com,0.002827,01020304050607080900,58,
gamevui.vn,0.00257,01020304050607080900,58,
qo4.net,0.00274,01020304050607080900,58,
oreno3d.com,0.002909,01020304050607080900,58,
cookieandkate.com,0.002902,01020304050607080900,58,
nordaccount.com,0.003493,01020304050607080900,58,
asianporndorm.com,0.002647,01020304050607080900,58,
manga-scantrad.io,0.002622,01020304050607080900,58,
wiki.gg,0.94309,01020304050607080900,58,
gasengi.com,0.002657,01020304050607080900,58,
pik.bg,0.002439,01020304050607080900,58,
linkpc.net,0.002642,01020304050607080900,58,
betfast.io,0.004797,01020304050607080900,58,
powtoon.com,0.002411,01020304050607080900,58,
myasiantv.tv,0.002539,01020304050607080900,58,
ku6107.net,0.002659,01020304050607080900,58,
comicbox.xyz,0.002622,01020304050607080900,58,
magmix.jp,0.004354,01020304050607080900,58,
gays-cruising.com,0.003709,01020304050607080900,58,
iowl.jp,0.004312,01020304050607080900,58,
spendwithpennies.com,0.002557,01020304050607080900,58,
ixunshu.net,0.003048,01020304050607080900,58,
escortsandbabes.com.au,0.003382,01020304050607080900,58,
nyahentai.re,0.002466,01020304050607080900,58,
mpo.jp,0.00298,01020304050607080900,58,
mandiant.com,0.002435,01020304050607080900,58,
animesoku.com,0.002415,01020304050607080900,58,
thesmokinggun.com,0.002583,01020304050607080900,58,
bitstamp.net,0.002829,01020304050607080900,58,
manga1001.se,0.002441,01020304050607080900,58,
neoseeker.com,0.002522,01020304050607080900,58,
undernavi.com,0.003012,01020304050607080900,58,
eroanime-movie.com,0.005157,01020304050607080900,58,
theladders.com,0.003817,01020304050607080900,58,
tuvsud.com,0.002492,01020304050607080900,58,
globalconnetct.com,0.002562,01020304050607080900,58,
befunky.com,0.002462,01020304050607080900,58,
yoasobi.co.jp,0.002457,01020304050607080900,58,
mangarawjp.vip,0.002768,01020304050607080900,58,
mocom.tv,0.00242,01020304050607080900,58,
pzhuk.com,0.00244,01020304050607080900,58,
wefunder.com,0.00285,01020304050607080900,58,
arclink.com.tw,0.002542,01020304050607080900,58,
crea-tv.jp,0.002591,01020304050607080900,58,
grabjobs.co,0.002401,01020304050607080900,58,
naszemiasto.pl,0.004051,01020304050607080900,58,
resellerclub.com,0.002762,01020304050607080900,58,
unz.com,0.002354,01020304050607080900,58,
ocnk.net,0.003179,01020304050607080900,58,
cineca.it,0.00251,01020304050607080900,58,
atube.sex,0.004345,01020304050607080900,58,
d3shu.com,0.002483,01020304050607080900,58,
notonthehighstreet.com,0.002535,01020304050607080900,58,
astxt.org,0.002824,01020304050607080900,58,
rtcplus.com,0.002738,01020304050607080900,58,
securecafe.com,0.002595,01020304050607080900,58,
maticooads.com,0.002529,01020304050607080900,58,
indiaforums.com,0.002649,01020304050607080900,58,
startitup.sk,0.003316,01020304050607080900,58,
adobeaemcloud.com,0.002374,01020304050607080900,58,
latestmodapks.com,0.002626,01020304050607080900,58,
top.gg,0.002732,01020304050607080900,58,
globalspec.com,0.004858,01020304050607080900,58,
thaiairways.com,0.00239,01020304050607080900,58,
mkklcdnv6temp.com,0.002492,01020304050607080900,58,
hashnode.dev,0.002626,01020304050607080900,58,
mvnrepository.com,0.465448,01020304050607080900,58,
castanet.net,0.002565,01020304050607080900,58,
linea.build,0.002462,01020304050607080900,58,
gmxvmvptfm.com,0.002934,01020304050607080900,58,
my-hammer.de,0.002594,01020304050607080900,58,
oyf752.com,0.003196,01020304050607080900,58,
itri.org.tw,0.003174,01020304050607080900,58,
undetekttable.life,0.002735,01020304050607080900,58,
bqg10.com,0.002395,01020304050607080900,58,
forzamotorsport.net,0.002455,01020304050607080900,58,
sub.jp,0.002425,01020304050607080900,58,
nip.io,0.002631,01020304050607080900,58,
24h.sex,0.002621,01020304050607080900,58,
jbc.org,0.003213,01020304050607080900,58,
tronscanapi.com,0.006942,01020304050607080900,58,
volaris.com,0.002514,01020304050607080900,58,
brooksbrothers.com,0.002971,01020304050607080900,58,
2yp9n6b.cc,0.002871,01020304050607080900,58,
getapp.com,0.002562,01020304050607080900,58,
met.police.uk,0.002706,01020304050607080900,58,
byteplusvod.com,0.00468,01020304050607080900,58,
lawyers.com,0.002694,01020304050607080900,58,
travelperk.com,0.002508,01020304050607080900,58,
posit.co,0.004135,01020304050607080900,58,
bingx.com,0.002752,01020304050607080900,58,
ueuo.com,0.003041,01020304050607080900,58,
howtoforge.com,0.003602,01020304050607080900,58,
